   37.10.40.14     202196  0.0                 (Hong Kong, Hong Kong, HK, AS)                                                                                                     
   37.10.40.9      202196  0.598            (Tai Yuen Estate, Tai Po, HK, AS)                                                                                                     
   210.176.141.185 4637    1.846            (Tai Yuen Estate, Tai Po, HK, AS) unknown.telstraglobal.net                                                                           
╭─ 202.84.153.37   4637    1.747         (Sham Shui Po, Sham Shui Po, HK, AS)                                                                                                     
S (4637)  asia-america-gateway-aag-cable-system 👍
╰─ 202.84.140.2    4637    155.641             (San Jose, California, US, NA) i-10852.eqnx-core02.telstraglobal.net                                                               
   202.84.247.17   4637    154.295             (San Jose, California, US, NA) i-92.eqnx03.telstraglobal.net                                                                       
   134.159.61.78   4637    153.993             (San Jose, California, US, NA) pccw_global-peer.eqnx03.pr.telstraglobal.net                                                        
   63.218.50.161   3491    161.712                  (Los Angeles, CA, US, NA) Hu0-0-0-5.br05.lax04.pccwbtn.net                                                                    
   63.222.114.151  3491    148.997          (Los Angeles, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   192.189.157.25  64289   148.246          (Los Angeles, California, US, NA)                                                                                                     
