   94.126.239.59   48070   0.0                (Peterborough, England, GB, EU) 59.239.126.94.ptr.sibson.as48070.net                                                                
   94.126.239.62   48070   0.648                     (Elton, England, GB, EU) 62.239.126.94.ptr.sibson.as48070.net                                                                
   94.126.239.249  48070   0.855                     (Elton, England, GB, EU) teleh-nrth-9k-core01.sibson.as48070.net                                                             
   195.66.226.215  41000   5.245                      (London, ENG, GB, None) gi0-0-0-14.thn-rt1.uk.as41000.net                                                                   
   176.74.23.251   41000   5.198                  (Shadwell, England, GB, EU) 2.vlan.lon1-csw1.uk.as41000.net                                                                     
   176.74.23.211   41000   5.345                    (London, England, GB, EU) 0.xe-0-0-23.lon2-csw1.uk.as41000.net                                                                
   176.74.23.214   41000   11.577               (Manchester, England, GB, EU) 0.xe-0-0-23.man1-csw1.uk.as41000.net                                                                
   176.74.23.223   41000   13.45                (Manchester, England, GB, EU) 0.ae1.man1-esw1.uk.as41000.net                                                                      
   176.74.17.75    41000   11.616               (Manchester, England, GB, EU) uk-mnc-as41000.anchors.atlas.ripe.net                                                               
