   41.221.208.94   3491    0.0                (Johannesburg, Gauteng, ZA, AF) 41-221-208-94.static.pccwglobal.net                                                                 
╭─ 41.221.208.93   3491    0.928              (Johannesburg, Gauteng, ZA, AF) 41-221-208-93.static.pccwglobal.net                                                                 
T (3491)  
╰─ 63.223.18.62    3491    161.597                     (London, None, GB, EU) Bundle-Ether41.br02.ldn12.pccwbtn.net                                                               
   77.67.94.153    3257    162.035                      (London, ENG, GB, EU) ae18.cr10-lon2.ip4.gtt.net                                                                          
   89.149.137.189  3257    161.944                      (London, ENG, GB, EU) ae34.cr1-lon1.ip4.gtt.net                                                                           
   154.14.154.110  3257    161.28                 (Shadwell, England, GB, EU) ip4.gtt.net                                                                                         
   185.180.186.62  60670   165.399              (Broadstone, England, GB, EU) 185-180-186-62.as60670.uk                                                                           
   37.143.136.249  196745  165.981                 (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  166.116                   (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
