   45.87.76.6      208725  0.0           (Brussels, Brussels Capital, BE, EU) ansible.devrandom.be                                                                                
   45.87.79.252    208725  0.214         (Brussels, Brussels Capital, BE, EU) router01.sw2.core.devrandom.be                                                                      
   45.87.79.249    208725  0.1           (Brussels, Brussels Capital, BE, EU) router03.core.devrandom.be                                                                          
   109.68.160.66   39923   0.291         (Brussels, Brussels Capital, BE, EU) xe-10-2-1.br20.zav.as39923.net                                                                      
   109.68.160.38   39923   0.309     (Saint-Josse-ten-Noode, Brussels Capital, BE, EU) xe-1-1-0.br10.zav.as39923.net                                                                       
╭─ 194.53.172.71   *       0.281 (0.705)            (Nossegem, Flanders, BE, EU) retn.bnix.net                                                                                       
LHL (, 9002)  concerto ✘
╰─ 87.245.232.68   9002    29.735                       (Vilnius, VL, LT, EU) ae1-11.RT.TIC.VNO.LT.retn.net                                                                       
   87.245.242.129  9002    1851.701                     (Vilnius, VL, LT, EU) xe121.RT.TIC.VNO.LT.retn.net                                                                        
   87.245.242.129  9002    1851.701                     (Vilnius, VL, LT, EU) xe121.RT.TIC.VNO.LT.retn.net                                                                        
