   45.11.104.146   57695   0.0                 (Hong Kong, Hong Kong, HK, AS) hk-hkg-as57695.anchors.atlas.ripe.net                                                               
   45.11.104.9     57695   0.139               (Hong Kong, Hong Kong, HK, AS) po30.0103.hkg12.hk.misaka.io                                                                        
   45.11.104.7     57695   0.225                    (Hong Kong, None, HK, AS) po-07.lag.hkg12.hk.misaka.io                                                                        
   199.119.64.150  969     0.256               (Hong Kong, Hong Kong, HK, AS) po103-10.cr1a.eqhk2.hkg12.hk.917.as                                                                 
   185.229.189.198 60068   0.205               (Hong Kong, Hong Kong, HK, AS) p77-6.cr1a.eqhk2.hkg12.hk.917.as                                                                    
   154.18.7.97     174     0.856               (Hong Kong, Hong Kong, HK, AS) hu0-1-0-1.rcr51.hkg01.atlas.cogentco.com                                                            
   154.54.88.49    174     1.332 (1.901)               (Hong Kong, None, HK, AS) be2414.ccr21.hkg02.atlas.cogentco.com                                                               
╭─ 67.220.148.205  3257    1.166 (1.808)          (Hong Kong, Hong Kong, HK, AS) ae6.cr3-hkg1.ip4.gtt.net                                                                            
S (3257)  asia-africa-europe-1-aae-1 ✓
╰─ 213.254.230.178 3257    251.197                        (Milan, 25, IT, EU) et-0-0-13.cr5-mil3.ip4.gtt.net                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   185.25.205.152  60798   251.914                  (Milan, Lombardy, IT, EU) 152.205.25.185.servereasy.it                                                                        
