   80.82.241.134   28792   0.0                      (London, England, GB, EU) 134-241-82-80.in-addr.pblin.net                                                                     
   80.82.241.133   28792   0.697                    (Oxford, England, GB, EU) 133-241-82-80.in-addr.pblin.net                                                                     
   80.82.243.126   28792   0.271                    (Witney, England, GB, EU) gi0-0-1.oxf-core-02.ip.pblin.net                                                                    
   80.82.243.121   28792   2.836                    (London, England, GB, EU) gi2-0-1.lon-core-01.ip.pblin.net                                                                    
   5.57.81.75      13335   3.813                         (None, None, GB, EU) lonap.as13335.net                                                                                   
   172.70.87.2     13335   4.137                        (London, ENG, GB, EU) *                                                                                                   
   172.70.84.70    13335   3.677                        (London, ENG, GB, EU) *                                                                                                   
   172.70.84.69    13335   3.762                        (London, ENG, GB, EU) *                                                                                                   
   172.70.84.129   13335   3.775                        (London, ENG, GB, EU) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
