   45.6.36.173     266152  0.0              (Campina Grande, Paraíba, BR, SA) 45.6.36.173.pjmfibra.com.br                                                                         
   45.6.36.61      266152  2.113            (Campina Grande, Paraíba, BR, SA) 45.6.36.61.pjmfibra.com.br                                                                          
╭─ 45.184.144.214  *       13.837                  (Fortaleza, Ceará, BR, SA) as6939.fortaleza.ce.ix.br                                                                           
S (, 6939)  brazilian-festoon ✘ ↠ america-movil-submarine-cable-system-1-amx-1 ✘ || brazilian-festoon ✘ ↠ south-america-1-sam-1 ✘ || brazilian-festoon ✘ ↠ brusa ✘ || brazilian-festoon ✘ ↠ globenet ✘ || brazilian-festoon ✘ ↠ monet ✘ || brazilian-festoon ✘ ↠ americas-ii ✘
╰─ 184.104.199.177 6939    113.354                   (Miami, Florida, US, NA) 100ge0-53.core2.mia1.he.net                                                                         
   184.104.188.184 6939    98.194                  (Atlanta, Georgia, US, NA) port-channel24.core2.atl1.he.net                                                                    
   184.104.197.54  6939    98.189                      (New York, NY, US, NA) 100ge0-79.core3.nyc4.he.net                                                                         
   216.66.23.18    6597    97.667                       (Atlanta, GA, US, NA) coloblox-llc.10gigabitethernet7-4.core1.atl1.he.net                                                 
   208.73.216.239  6597    98.08                        (Atlanta, GA, US, NA) 1-50.er20.ag2.atl1.coloblox.net                                                                     
   209.195.0.34    6597    99.016                  (Atlanta, Georgia, US, NA)                                                                                                     
