   104.131.160.184 14061   0.0                  (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   10.74.132.59    *       0.606                                          ***                                                                                                     
   138.197.251.12  *       1.005            (New York City, New York, US, NA)                                                                                                     
   138.197.248.60  *       0.664            (New York City, New York, US, NA)                                                                                                     
   138.197.244.36  *       1.108            (New York City, New York, US, NA)                                                                                                     
   66.110.96.25    6453    1.186            (New York City, New York, US, NA) ix-ae-4-0.tcore1.n75-newyork.as6453.net                                                             
   66.110.96.59    6453    4.336                       (New York, NY, US, NA) if-be-57-2.ecore1.n75-newyork.as6453.net                                                            
   ***             *       -inf                                           *** *                                                                                                   
╭─ 63.243.128.26   6453    4.262                       (New York, NY, US, NA) if-ae-7-2.tcore1.n0v-newyork.as6453.net                                                             
LHL (6453, 3320)  apollo ✓ || flag-atlantic-1-fa-1 ✓
╰─ 87.128.239.249  3320    7.578                         (None, None, DE, EU) *                                                                                                   
   217.5.82.50     3320    93.958                        (None, None, DE, EU) hh-eb10-i.HH.DE.NET.DTAG.DE                                                                         
   185.39.176.22   200567  94.098                        (None, None, DE, EU) public-ping.mdex.de                                                                                 
   185.70.144.118  200567  97.034                  (Hamburg, Hamburg, DE, EU)                                                                                                     
