   37.143.141.141  196745  0.0                       (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
   172.22.10.219   *       0.162                                          ***                                                                                                     
   37.143.136.252  196745  0.261                   (Bournemouth, ENG, GB, EU) *                                                                                                   
   138.124.175.189 206347  0.515               (Bournemouth, England, GB, EU)                                                                                                     
   138.124.175.173 206347  1.118               (Bournemouth, England, GB, EU)                                                                                                     
   138.124.175.157 206347  1.223               (Bournemouth, England, GB, EU)                                                                                                     
   138.124.175.149 206347  1.747         (Charlton Marshall, England, GB, EU)                                                                                                     
   138.124.175.81  206347  1.428 (4.088)               (London, England, GB, EU)                                                                                                     
   195.66.238.188  25376   11.27                      (London, ENG, GB, None) po1-7.asr-tcw.netnorth.co.uk                                                                        
   82.148.224.6    25376   11.425                   (Bolton, England, GB, EU)                                                                                                     
