   185.139.168.19  203296  0.0                    (Helsinki, Uusimaa, FI, EU) fi-hel-as203296.anchors.atlas.ripe.net                                                              
   ***             *       -inf                                           *** *                                                                                                   
   77.246.204.229  16302   0.926                  (Helsinki, Uusimaa, FI, EU) 77-246-204-229.cust.suomicom.net                                                                    
   213.248.70.250  1299    1.499                  (Helsinki, Uusimaa, FI, EU) hls-b3-link.ip.twelve99.net                                                                         
╭─ 62.115.122.147  1299    1.618               (Kirkkonummi, Uusimaa, FI, EU) hls-b4-link.ip.twelve99.net                                                                         
T (1299)  
╰─ 62.115.115.251  1299    7.475     (Saint Petersburg, St.-Petersburg, RU, EU) sap-b4-link.ip.twelve99.net                                                                         
   92.53.93.184    49505   7.977                         (None, None, RU, EU) *                                                                                                   
   92.53.93.77     49505   7.353                         (None, None, RU, EU) *                                                                                                   
   92.53.93.52     49505   7.299     (Saint Petersburg, St.-Petersburg, RU, EU)                                                                                                     
   188.124.38.132  49505   7.966     (Saint Petersburg, St.-Petersburg, RU, EU)                                                                                                     
