   94.207.43.2     57187   0.0                         (Dubai, Dubai, AE, AS) -094-207-043-002.datamena.net                                                                       
   94.207.43.1     57187   0.279                       (Dubai, Dubai, AE, AS) j48-1.dxa.dxb.ae.datamena.net                                                                       
   185.1.8.5       *       0.965                       (Dubai, Dubai, AE, AS) uddm01.telstraglobal.net                                                                            
╭─ 202.84.204.46   4637    1.778                       (Dubai, Dubai, AE, AS) i-102.uddm-core01.telstraglobal.net                                                                 
S (4637)  seamewe-3 👍 || seamewe-5 ✓ || seamewe-4 ✓
╰─ 202.84.207.189  4637    191.728             (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.207.189  4637    191.728             (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.219.173  4637    191.909             (Singapore, Singapore, SG, AS) i-92.sggs01.telstraglobal.net                                                                       
   210.57.30.94    4637    191.562             (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   37.10.41.14     202196  193.874             (Singapore, Singapore, SG, AS)                                                                                                     
