   194.116.77.35   41364   0.0                      (Turin, Piedmont, IT, EU)                                                                                                     
   194.116.76.253  41364   1.146                  (Gerbido, Piedmont, IT, EU)                                                                                                     
   194.116.96.24   1267    5.106                          (Turin, 21, IT, EU) wind.topix.it                                                                                       
   151.6.7.180     1267    6.175                         (None, None, IT, EU) *                                                                                                   
   151.6.5.224     1267    9.933                      (Rho, Lombardy, IT, EU)                                                                                                     
   151.7.32.17     1267    9.963                      (Rho, Lombardy, IT, EU)                                                                                                     
   151.7.32.111    1267    10.153                        (None, None, IT, EU) *                                                                                                   
   151.14.36.38    31034   11.834                        (Arezzo, 52, IT, EU) *                                                                                                   
   62.149.185.28   31034   11.684                        (Arezzo, 52, IT, EU) cs2-02-vi3902.it1.aruba.it                                                                          
   31.14.143.132   31034   11.368                   (Arezzo, Tuscany, IT, EU) host132-143-14-31.serverdedicati.aruba.it                                                           
