   185.233.100.99  198985  0.0         (Bordeaux, Nouvelle-Aquitaine, FR, EU) ripe-atlas.aquilenet.fr                                                                             
   185.233.100.124 198985  0.203          (Cenon, Nouvelle-Aquitaine, FR, EU) charon1.aquilenet.fr                                                                                
   149.6.44.17     174     0.987          (Cenon, Nouvelle-Aquitaine, FR, EU) gi0-0-1-1.nr11.b015544-0.bod01.atlas.cogentco.com                                                   
   154.25.0.73     174     1.256          (Cenon, Nouvelle-Aquitaine, FR, EU) te0-0-0-35.rcr71.bod01.atlas.cogentco.com                                                           
   130.117.3.1     174     9.038               (Paris, Île-de-France, FR, EU) be3039.ccr41.par01.atlas.cogentco.com                                                               
   154.54.38.66    174     9.387                         (Paris, IDF, FR, EU) be3183.ccr31.par04.atlas.cogentco.com                                                               
╭─ 63.220.194.68   3491    9.34                (Paris, Île-de-France, FR, EU) 63-220-194-68.static.pccwglobal.net                                                                 
S (3491)  seamewe-5 ✓ || asia-africa-europe-1-aae-1 👍 || seamewe-4 ✓
╰─ 63.218.166.226  3491    163.765               (Kuala Lumpur, None, MY, AS) TenGE0-2-0-3.br02.klp01.pccwbtn.net                                                                 
   63.222.188.9    3491    171.434       (Kuala Lumpur, Kuala Lumpur, MY, AS)                                                                                                     
