   212.45.159.245  8816    0.0                      (Milan, Lombardy, IT, EU) it-mil-as8816.anchors.atlas.ripe.net                                                                
   212.45.159.246  8816    0.805                    (Milan, Lombardy, IT, EU) asr-luc1-gi7.metrolink.it                                                                           
   212.45.137.158  8816    0.778                    (Milan, Lombardy, IT, EU) asr-sal1-te25.metrolink.it                                                                          
   212.45.137.190  8816    1.195                    (Milan, Lombardy, IT, EU) br-mix-te12.metrolink.it                                                                            
╭─ 213.200.68.81   3257    0.523                    (Milan, Lombardy, IT, EU) ae0-27.mil19.ip4.tinet.net                                                                          
S&T (3257)  
╰─ 141.136.106.109 3257    19.736                       (London, ENG, GB, EU) ae0.cr13-lon1.ip4.gtt.net                                                                           
   212.221.80.242  3257    19.627                  (Stepney, England, GB, EU) ip4.gtt.net                                                                                         
   156.146.32.95   60068   19.668                   (Poplar, England, GB, EU)                                                                                                     
   103.170.154.254 142594  19.692                   (London, England, GB, EU) 254.154.170.103.speedyvps.uk                                                                        
