   82.148.224.6    25376   0.0                      (Bolton, England, GB, EU)                                                                                                     
   82.148.224.193  25376   0.509                    (Bolton, England, GB, EU) vl16.ds-193.netnorth.net.uk                                                                         
   82.148.224.3    25376   0.301                         (None, None, GB, EU) Po1-16.asr-bol23.netnorth.net.uk                                                                    
   82.148.224.2    25376   0.66                 (Manchester, England, GB, EU) po1-16.asr-ma1.netnorth.net.uk                                                                      
   195.66.244.245  28792   0.832                  (Manchester, ENG, GB, None) *                                                                                                   
   80.82.243.153   28792   3.405 (6.028)                   (Witney, ENG, GB, EU) te0-3-0.lon-core-02.ip.pblin.net                                                                    
   80.82.243.141   28792   3.335 (5.979)                   (Witney, ENG, GB, EU) gi-2-1-0.lon-core-01.ip.pblin.net                                                                   
   80.82.243.120   28792   8.697                        (Witney, ENG, GB, EU) oxf-core-02.ip.pblin.net                                                                            
   80.82.243.127   28792   8.897                        (Witney, ENG, GB, EU) oxf-access-10.ip.pblin.net                                                                          
   80.82.241.134   28792   8.723                    (London, England, GB, EU) 134-241-82-80.in-addr.pblin.net                                                                     
