   185.70.144.118  200567  0.0                     (Hamburg, Hamburg, DE, EU)                                                                                                     
   185.70.144.114  200567  1.398      (Tangstedt, Schleswig-Holstein, DE, EU)                                                                                                     
   62.214.137.217  8881    4.931                         (Berlin, BE, DE, EU) *                                                                                                   
   80.81.197.40    8881    4.067             (Frankfurt am Main, 5, DE, None) hhb002isp006.fra.versatel.de                                                                        
╭─ 80.81.196.62    39642   13.608            (Frankfurt am Main, 5, DE, None) de-cix.frnx-br01.ip.stofa.net                                                                       
T (39642, 43557)  
╰─ 139.45.29.177   43557   26.503        (Silkeborg, Central Jutland, DK, EU) be-201.koldb-cor03.ip.norlys.io                                                                     
   139.45.18.114   43557   26.038        (Silkeborg, Central Jutland, DK, EU) be-190.koldb-dist01.ip.norlys.io                                                                    
   212.10.13.209   39642   23.575        (Tranbjerg, Central Jutland, DK, EU) be216.dck-pe02.link.stofa.net                                                                       
   212.10.11.213   39642   25.674            (Kolding, South Denmark, DK, EU) dk-kol-as39642.anchors.atlas.ripe.net                                                               
