   149.248.18.65   20473   0.0              (Los Angeles, California, US, NA) 149.248.18.65.vultrusercontent.com                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   100.100.100.1   *       0.305                                          ***                                                                                                     
   10.68.3.149     *       0.931                                          ***                                                                                                     
   10.68.1.17      *       1.124                                          ***                                                                                                     
   10.68.1.5       *       0.965                                          ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   63.223.43.66    3491    0.918                    (Los Angeles, CA, US, NA) HundredGE0-2-0-0.br04.lax05.pccwbtn.net                                                             
   63.218.212.242  3491    0.711             (El Segundo, California, US, NA) yomura.ge-0-0-0-10.br03.lax05.as3491.net                                                            
