   185.39.208.23   199993  0.0                       (Lisbon, Lisbon, PT, EU) atlasancora01.wan.dns.pt                                                                            
   185.39.208.60   199993  0.376                     (Lisbon, Lisbon, PT, EU)                                                                                                     
   194.210.4.137   1930    1.484                     (Lisbon, Lisbon, PT, EU) router63.lisboa.fccn.pt                                                                             
   194.210.6.212   1930    1.492                     (Lisbon, Lisbon, PT, EU)                                                                                                     
   194.210.6.205   1930    1.967                     (Lisbon, Lisbon, PT, EU) router6.lisboa.fccn.pt                                                                              
╭─ 193.136.250.150 37468   1.556                       (Lisbon, 14, PT, None) AngolaCables.AS37468.gigapix.pt                                                                     
S&T (37468)  west-africa-cable-system-wacs 👍
╰─ 102.130.68.68   37468   113.675          (Cape Town, Western Cape, ZA, AF)                                                                                                     
   102.130.68.113  37468   128.72                  (Johannesburg, GT, ZA, AF) *                                                                                                   
   102.130.68.151  37468   128.941            (Johannesburg, Gauteng, ZA, AF)                                                                                                     
