   109.230.214.3   199610  0.0                       (Miami, Florida, US, NA)                                                                                                     
   31.214.134.1    199610  0.222                     (Miami, Florida, US, NA)                                                                                                     
   85.190.172.67   *       0.445                     (Miami, Florida, US, NA)                                                                                                     
   157.238.226.0   2914    0.532                     (Miami, Florida, US, NA) ce-2-3-1-1001.a03.miamfl02.us.bb.gin.ntt.net                                                        
   129.250.7.47    2914    0.492 (1.467)                (Miami, Florida, US, NA) ae-3.r23.miamfl02.us.bb.gin.ntt.net                                                                 
   129.250.2.86    2914    23.961                        (None, None, US, NA) ae-4.sayonara-dorian.r24.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.3.242   2914    24.099                 (Ashburn, Virginia, US, NA) ae-0.a05.asbnva02.us.bb.gin.ntt.net                                                                 
   80.157.204.221  3320    25.812                (Washington, DC, DC, US, NA) *                                                                                                   
   62.154.5.110    3320    30.222                      (New York, NY, US, NA) nyc-sb6-i.NYC.US.NET.DTAG.DE                                                                        
   217.243.179.165 3320    31.154           (New York City, New York, US, NA)                                                                                                     
