   204.15.11.34    13331   0.0                   (SeaTac, Washington, US, NA)                                                                                                     
   204.15.11.3     13331   18.925               (Seattle, Washington, US, NA) irb-1099.c8cc.sea.metapeer.com                                                                      
   207.229.73.33   13331   0.284                (Seattle, Washington, US, NA) ae0-982.c8br.sea.metapeer.com                                                                       
   76.74.43.221    3257    1.506                (Seattle, Washington, US, NA) et-2-0-31.cr5-sea2.ip4.gtt.net                                                                      
   141.136.110.14  3257    22.8                        (San Jose, CA, US, NA) ae10.cr0-sjc2.ip4.gtt.net                                                                           
╭─ 173.205.35.2    4826    23.126                      (San Jose, CA, US, NA) *                                                                                                   
S (4826)  hawaiki ✘ || southern-cross-cable-network-sccn ✓ || southern-cross-next ✓
╰─ 114.31.199.42   4826    171.128                      (Sydney, NSW, AU, OC) be202.cor02.syd04.nsw.vocus.network                                                                 
   114.31.192.105  4826    171.515          (Sydney, New South Wales, AU, OC) be2.bdr02.syd11.nsw.vocus.network                                                                   
   114.31.201.91   4826    171.178          (Sydney, New South Wales, AU, OC) 91.201.31.114.core.vocus.network                                                                    
