   63.222.7.46     3491    0.0                 (Hong Kong, Hong Kong, HK, AS) 63-222-7-46.static.pccwglobal.net                                                                   
   63.222.7.45     3491    0.62             (Kau Wa Keng, Kwai Tsing, HK, AS) 63-222-7-45.static.pccwglobal.net                                                                   
   63.218.174.66   3491    1.442               (Hong Kong, Hong Kong, HK, AS) hu-0-0-0-0.br06.hkg12.as3491.net                                                                    
╭─ 67.220.128.205  3257    1.196               (Tsuen Wan, Tsuen Wan, HK, AS) ae39.cr0-hkg2.ip4.gtt.net                                                                           
S (3257)  asia-africa-europe-1-aae-1 ✓ || seamewe-3 ✓
╰─ 213.200.120.218 3257    293.092                       (Paris, IDF, FR, EU) ae17.cr2-par7.ip4.gtt.net                                                                           
   77.67.123.206   2200    297.023                       (Paris, IDF, FR, EU) renater-gw-ix1.gtt.net                                                                              
   193.55.204.193  2200    308.163                      (Paris, None, FR, EU) et-2-0-0-ren-nr-paris2-rtr-131.noc.renater.fr                                                       
   193.51.177.239  2200    301.65                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    301.816                     (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   193.51.181.93   2200    912.416                   (Grenoble, None, FR, EU) man-tigre-te1-4-grenoble-rtr-021.noc.renater.fr                                                     
   193.54.185.10   1942    301.675            (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    302.106   (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
