   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.158            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.348            (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.752            (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    0.589                        (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   ***             *       -inf                                           *** *                                                                                                   
   203.50.13.86    1221    1.148            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.50.13.86    1221    1.148            (Sydney, New South Wales, AU, OC)                                                                                                     
   202.84.222.134  4637    145.984          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
╭─ 202.84.222.134  4637    145.984          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
S (4637)  
╰─ 202.84.141.25   4637    147.366             (San Jose, California, US, NA) i-20802.eqnx-core02.telstraglobal.net                                                               
   202.84.251.62   4637    146.14              (San Jose, California, US, NA) i-1041.paix02.telstraglobal.net                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   192.158.252.10  1280    146.081        (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
