   185.221.36.2    48854   0.0           (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
   185.221.36.253  48854   0.332          (Stilling, Central Jutland, DK, EU)                                                                                                     
   212.237.248.14  48854   0.417          (Stilling, Central Jutland, DK, EU)                                                                                                     
   80.70.0.248     48854   0.24           (Stilling, Central Jutland, DK, EU)                                                                                                     
   93.167.247.106  3292    0.456          (Stilling, Central Jutland, DK, EU) cpe.et-3-3-0-100.sdnqe11.dk.customer.tdc.net                                                        
   93.167.247.105  3292    0.448          (Stilling, Central Jutland, DK, EU) et-3-3-0-100.sdnqe11.dk.ip.tdc.net                                                                  
   83.88.3.101     3292    2.278         (Tranbjerg, Central Jutland, DK, EU) ae0-0.kd3nqp7.dk.ip.tdc.net                                                                         
   128.76.59.97    3292    2.364         (Tranbjerg, Central Jutland, DK, EU) peer-as9158.kd3nqp7.dk.ip.tdc.net                                                                   
   77.214.52.101   9158    3.644 (4.85)                     (Farum, 84, DK, EU) *                                                                                                   
   77.214.52.102   9158    3.071 (4.925)        (Aalborg, North Denmark, DK, EU)                                                                                                     
