   150.164.1.222   271354  0.0         (Belo Horizonte, Minas Gerais, BR, SA) ripeatlas-anchor.dcc.ufmg.br                                                                        
   150.164.1.193   271354  0.698       (Belo Horizonte, Minas Gerais, BR, SA) chronos-labexternos.dcc.ufmg.br                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   150.164.164.132 271354  1.302       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   150.164.164.42  271354  3.203       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   200.19.158.0    1916    1.177       (Belo Horizonte, Minas Gerais, BR, SA) ufmg-20g-1-gw.pop-mg.rnp.br                                                                         
   200.131.0.142   1916    1.73        (Belo Horizonte, Minas Gerais, BR, SA) ptp-almeirao-tropeiro.pop-mg.rnp.br                                                                 
   200.143.255.173 1916    4.42        (Belo Horizonte, Minas Gerais, BR, SA) cmg2-lanmg2.bkb.rnp.br                                                                              
   170.79.213.134  *       1.706       (Belo Horizonte, Minas Gerais, BR, SA)                                                                                                     
   170.79.213.154  *       20.708      (Belo Horizonte, Minas Gerais, BR, SA) cba1-cmg1-100g-infobarra.bkb.rnp.br                                                                 
   170.79.213.31   1916    33.21                         (None, None, BR, SA) *                                                                                                   
   170.79.213.139  *       32.796    (Rio de Janeiro, Rio de Janeiro, BR, SA) cce2-cce1.bkb.rnp.br                                                                                
╭─ 170.79.213.47   *       97.103      (Belo Horizonte, Minas Gerais, BR, SA) mia2-cce2-monet.bkb.rnp.br                                                                          
S (, 2914)  
╰─ 129.250.202.93  2914    97.834                      (New York, NY, US, NA) xe-0-0-26-2.sayonara-dorian.a01.miamfl02.us.bb.gin.ntt.net                                          
   204.141.210.206 393434  96.551                        (None, None, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   131.72.76.118   264811  153.279                   (Miami, Florida, US, NA) 131-72-76-118.rev.airlinkdc.com                                                                     
