   212.45.159.245  8816    0.0                      (Milan, Lombardy, IT, EU) it-mil-as8816.anchors.atlas.ripe.net                                                                
   212.45.159.246  8816    0.997                    (Milan, Lombardy, IT, EU) asr-luc1-gi7.metrolink.it                                                                           
   212.45.137.202  8816    1.079                    (Milan, Lombardy, IT, EU) asr-luc2-te27.metrolink.it                                                                          
   212.45.137.197  8816    1.205                    (Milan, Lombardy, IT, EU) br-ava-te28.metrolink.it                                                                            
   185.1.114.25    13335   1.188                         (Milan, 9, IT, None) cloudflare.minap.it                                                                                 
   188.114.100.5   13335   1.2                            (Milan, 25, IT, EU) *                                                                                                   
   162.158.196.114 13335   0.938                    (Milan, Lombardy, IT, EU)                                                                                                     
   162.158.196.124 13335   1.065                    (Milan, Lombardy, IT, EU)                                                                                                     
   162.158.196.22  13335   1.064                    (Milan, Lombardy, IT, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
