   144.172.124.251 397031  0.0              (New York City, New York, US, NA)                                                                                                     
   144.172.124.225 397031  17.295           (New York City, New York, US, NA)                                                                                                     
   204.68.252.166  *       1.044               (Bloomfield, New York, US, NA) be5974.nr51.b024352-0.jfk01.atlas.cogentco.com                                                      
   154.24.67.33    174     1.286             (Graniteville, New York, US, NA) be2240.rcr24.jfk01.atlas.cogentco.com                                                               
   154.54.84.213   174     1.303            (New York City, New York, US, NA) be2897.ccr42.jfk02.atlas.cogentco.com                                                               
   154.54.40.110   174     7.074                     (Washington, DC, US, NA) be2807.ccr42.dca01.atlas.cogentco.com                                                               
   154.54.30.66    174     8.251                 (Washington, DC, VA, US, NA) be3084.ccr41.iad02.atlas.cogentco.com                                                               
   38.32.185.130   60068   7.649                       (Bensalem, PA, US, NA) *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   199.119.65.28   57695   7.513                 (Washington, DC, VA, US, NA) po-28.lag.iad01.us.misaka.io                                                                        
   199.119.65.55   917     7.787                  (Ashburn, Virginia, US, NA) us-qas-as57695.anchors.atlas.ripe.net                                                               
