   185.6.39.132    42953   0.0                        (Cork, Munster, IE, EU)                                                                                                     
   185.6.39.130    42953   1.152                      (Cork, Munster, IE, EU)                                                                                                     
   91.103.0.98     47720   0.769                      (Cork, Munster, IE, EU)                                                                                                     
   91.103.0.205    47720   1.843                      (Cork, Munster, IE, EU)                                                                                                     
╭─ 62.23.108.45    8220    9.544                   (Dublin, Leinster, IE, EU) host.45.108.23.62.rev.coltfrance.com                                                                
T (8220, )  
╰─ 193.114.179.83  *       23.223          (Amsterdam, North Holland, NL, EU)                                                                                                     
   80.249.209.176  14907   22.441                      (Schiphol, NH, NL, EU) ae2.cr2-esams.wikimedia.org                                                                         
   185.15.59.155   14907   232.837         (Amsterdam, North Holland, NL, EU) et-0-0-48.asw1-by27-esams.wikimedia.org                                                             
   185.15.59.74    14907   23.137          (Amsterdam, North Holland, NL, EU) atlas3001.wikimedia.org                                                                             
