   109.230.208.226 199610  0.0                  (Clifton, New Jersey, US, NA)                                                                                                     
   45.159.5.193    199610  1.031            (New York City, New York, US, NA)                                                                                                     
   85.190.172.3    *       1.109            (New York City, New York, US, NA)                                                                                                     
   62.115.44.132   1299    1.815            (New York City, New York, US, NA) ewr-b1-link.ip.twelve99.net                                                                         
   62.115.126.176  1299    1.945            (New York City, New York, US, NA) nyk-bb1-link.ip.twelve99.net                                                                        
   62.115.143.11   1299    1.715            (Jersey City, New Jersey, US, NA) nyk-b7-link.ip.twelve99.net                                                                         
   ***             *       -inf                                           *** *                                                                                                   
╭─ 154.54.3.125    174     2.028                       (New York, NY, US, NA) be3363.ccr42.jfk02.atlas.cogentco.com                                                               
S (174)  apollo © || flag-atlantic-1-fa-1 ©
╰─ 154.54.27.170   174     78.472                        (Paris, IDF, FR, EU) be3628.ccr42.par01.atlas.cogentco.com                                                               
   130.117.3.54    174     86.668            (Bordeaux/Merignac, NAQ, FR, EU) be3051.rcr71.bod01.atlas.cogentco.com                                                               
   154.25.0.70     174     83.388            (Bordeaux/Merignac, NAQ, FR, EU) te0-0-2-0.nr11.b015544-0.bod01.atlas.cogentco.com                                                   
   149.6.44.18     198985  82.903                     (Bordeaux, NAQ, FR, EU) aquilenet.demarc.cogentco.com                                                                       
   185.233.100.99  198985  85.85       (Bordeaux, Nouvelle-Aquitaine, FR, EU) ripe-atlas.aquilenet.fr                                                                             
