   202.152.129.74  23951   0.0               (Yogyakarta, Yogyakarta, ID, AS) 202-152-129-74.citra.net.id                                                                         
   202.152.129.73  23951   0.328     (Pugeran Maguwoharjo, Yogyakarta, ID, AS) 202-152-129-73.citra.net.id                                                                         
   202.152.153.20  23951   0.634     (Pugeran Maguwoharjo, Yogyakarta, ID, AS) 202-152-153-20.as23951.net                                                                          
   202.152.153.216 23951   10.304                  (Jakarta, Jakarta, ID, AS) cyber.dmix.bdr1.cgk.as23951.net                                                                     
   117.20.51.56    23951   10.458                 (Depok, Yogyakarta, ID, AS) jktix.as23951.net                                                                                   
   119.11.184.109  10217   10.616                  (Jakarta, Jakarta, ID, AS)                                                                                                     
   202.58.202.251  *       10.867                  (Jakarta, Jakarta, ID, AS) ae-1-1-r1-jkt1.globalxtreme.net                                                                     
   202.58.202.3    *       28.596                  (Jakarta, Jakarta, ID, AS) ae-1-3-r1-dps1.globalxtreme.net                                                                     
   103.225.148.27  45701   27.176                  (Jakarta, Jakarta, ID, AS) ip-27-148-225-103.globalxtreme.net                                                                  
