   104.131.160.184 14061   0.0                  (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   10.74.132.69    *       0.29                                           ***                                                                                                     
   138.197.251.12  *       0.806            (New York City, New York, US, NA)                                                                                                     
   138.197.248.18  *       0.412            (New York City, New York, US, NA)                                                                                                     
   138.197.244.44  *       1.071            (New York City, New York, US, NA)                                                                                                     
   157.238.179.69  2914    1.078            (New York City, New York, US, NA) ce-3-1-0.a02.nycmny17.us.bb.gin.ntt.net                                                             
   ***             *       -inf                                           *** *                                                                                                   
   129.250.6.146   2914    76.404                        (None, None, US, NA) ae-9.r20.londen12.uk.bb.gin.ntt.net                                                                 
   129.250.2.183   2914    75.268                        (None, None, US, NA) ae-1.r21.londen12.uk.bb.gin.ntt.net                                                                 
╭─ 129.250.6.113   2914    75.066                        (None, None, US, NA) ae-1.r03.londen05.uk.bb.gin.ntt.net                                                                 
S (2914, 31655)  
╰─ 81.25.207.22    31655   75.236                        (None, None, GB, EU) *                                                                                                   
   164.39.242.16   31655   77.834            (Trafford Park, England, GB, EU)                                                                                                     
   164.39.242.17   31655   77.35                (Manchester, England, GB, EU)                                                                                                     
