   37.252.253.18   42473   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   37.252.253.17   42473   0.197                    (Palermo, Sicily, IT, EU) cr-01.0v-04-28.anx35.pmo.it.anexia-it.com                                                           
   37.235.5.33     42473   0.351                    (Palermo, Sicily, IT, EU)                                                                                                     
   185.1.46.4      *       0.497                    (Palermo, Sicily, IT, EU) seabone-decix-palermo-v6.seabone.net                                                                
   89.221.32.130   6762    13.992                          (Rome, 62, IT, EU) ae1.roma54.rom.seabone.net                                                                          
   89.221.32.37    6762    18.195                          (Rome, 62, IT, EU) orakom.roma54.rom.seabone.net                                                                       
   77.39.128.6     199181  18.295                   (Battipaglia, 72, IT, EU) *                                                                                                   
   5.158.64.238    199181  18.362                   (Battipaglia, 72, IT, EU) *                                                                                                   
   5.158.64.189    199181  18.651             (Battipaglia, Campania, IT, EU)                                                                                                     
