   202.214.97.16   2497    0.0                      (Hatsudai, Tokyo, JP, AS)                                                                                                     
   202.214.97.2    2497    2.514                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   210.138.93.41   2497    0.518                       (Tokyo, Tokyo, JP, AS)                                                                                                     
   58.138.114.233  2497    1.075                       (Tokyo, Tokyo, JP, AS) tky009ipgw00.iij.net                                                                                
   58.138.114.193  2497    1.202                       (Tokyo, Tokyo, JP, AS) tky009bb01.iij.net                                                                                  
╭─ 58.138.112.54   2497    2.616                       (Tokyo, Tokyo, JP, AS)                                                                                                     
S (2497)  japan-u-s-cable-network-jus ✓ || tata-tgn-pacific ✓ || pacific-crossing-1-pc-1 ✓ || faster ✓ || jupiter ✓
╰─ 58.138.88.246   2497    101.097             (San Jose, California, US, NA) sjc002bb01.iij.net                                                                                  
   198.32.176.3    1280    101.233                       (None, None, US, NA) paix.r1.pao1.isc.org                                                                                
   192.158.252.10  1280    100.939        (Mountain View, California, US, NA) us-pao-as1280.anchors.atlas.ripe.net                                                                
