   213.108.25.10   197564  0.0                      (Täby, Stockholm, SE, EU) ripe-atlas2.iis.se                                                                                  
   213.108.25.2    197564  0.92                (Stockholm, Stockholm, SE, EU) gw25-2.iis.se                                                                                       
   212.247.125.21  1257    0.584               (Stockholm, Stockholm, SE, EU) static-212-247-125-21.cust.tele2.se                                                                 
   91.129.16.138   1257    1.057               (Stockholm, Stockholm, SE, EU) ch-glo-cagg-1.bundle-ether4.tele2.net                                                               
   91.129.13.66    1257    0.957               (Stockholm, Stockholm, SE, EU) ssol1-core-2.bundle-ether11.tele2.net                                                               
   91.129.14.114   1257    0.607               (Stockholm, Stockholm, SE, EU) sk1-peer-1.ae2-unit0.tele2.net                                                                      
   80.67.0.176     42708   1.048               (Stockholm, Stockholm, SE, EU) be-27.cr2.sto2.se.portlane.net                                                                      
   80.67.4.133     42708   1.453                      (Stockholm, AB, SE, EU) be-2.pe3.sto1.se.portlane.net                                                                       
   80.67.2.157     42708   8.028               (Stockholm, Stockholm, SE, EU) 80-67-2-157.static.portlane.net                                                                     
   31.3.155.41     51430   1.283               (Stockholm, Stockholm, SE, EU) iajsyagsshoes0.shoesnethoje.com.br                                                                  
