   202.152.129.74  23951   0.0               (Yogyakarta, Yogyakarta, ID, AS) 202-152-129-74.citra.net.id                                                                         
   202.152.129.73  23951   0.632     (Pugeran Maguwoharjo, Yogyakarta, ID, AS) 202-152-129-73.citra.net.id                                                                         
   202.152.153.25  23951   0.861     (Pugeran Maguwoharjo, Yogyakarta, ID, AS) 202-152-153-25.as23951.net                                                                          
╭─ 202.152.131.237 23951   24.203            (Yogyakarta, Yogyakarta, ID, AS) bbix.rtr1-sgw-eq.citra.net.id                                                                       
S (23951, )  seamewe-3 ✓
╰─ 101.203.90.36   *       101.222                     (Tokyo, Tokyo, JP, AS)                                                                                                     
   84.17.33.105    57695   101.139               (Tokyo / Narita, 12, JP, AS) v3517.cr01.nrt04.jp.misaka.io                                                                       
   199.119.64.141  969     101.202                     (Tokyo, Tokyo, JP, AS) e32-20.spine1.nrt04.jp.misaka.io                                                                    
   103.170.232.11  142616  100.984                     (Tokyo, Tokyo, JP, AS) po-31.lag.nrt04.jp.misaka.io                                                                        
   103.170.232.152 142616  104.905                     (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
