   23.148.232.6    59678   0.0               (Piscataway, New Jersey, US, NA) us-pil-as59678.anchors.atlas.ripe.net                                                               
   23.148.232.1    59678   0.437              (Middlesex, New Jersey, US, NA) xgw-0101-ewr1.int.36.services                                                                       
   107.151.62.1    55081   1.195       (South Plainfield, New Jersey, US, NA)                                                                                                     
   128.241.10.172  2914    1.242                 (Newark, New Jersey, US, NA) ae-7.a00.nwrknj03.us.bb.gin.ntt.net                                                                 
   129.250.2.214   2914    1.326               (Secaucus, New Jersey, US, NA) ae-15.r21.nwrknj03.us.bb.gin.ntt.net                                                                
   129.250.6.116   2914    6.661                         (None, None, US, NA) ae-3.sayonara-dorian.r25.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.37    2914    6.663                         (None, None, US, NA) ae-1.sayonara-dorian.r24.asbnva02.us.bb.gin.ntt.net                                                 
   129.250.2.87    2914    29.181                        (None, None, US, NA) ae-1.sayonara-dorian.r23.miamfl02.us.bb.gin.ntt.net                                                 
   129.250.7.46    2914    31.38                     (Miami, Florida, US, NA) ae-1.a03.miamfl02.us.bb.gin.ntt.net                                                                 
   157.238.226.1   2914    29.95                     (Miami, Florida, US, NA) ce-2-3-1-1001.a03.miamfl02.us.ce.gin.ntt.net                                                        
   109.230.214.3   199610  29.112                    (Miami, Florida, US, NA)                                                                                                     
