   37.10.41.14     202196  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   37.10.41.9      202196  0.439               (Singapore, Singapore, SG, AS)                                                                                                     
   210.57.30.93    4637    1.689               (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.244.42   4637    2.184               (Singapore, Singapore, SG, AS) i-91.sgpl-core03.telstraglobal.net                                                                  
   202.84.224.190  4637    2.794               (Singapore, Singapore, SG, AS) i-93.istt04.telstraglobal.net                                                                       
╭─ 63.218.165.85   3491    2.722                       (Singapore, 4, SG, AS) 63-218-165-85.static.pccwglobal.net                                                                 
S (3491)  asia-america-gateway-aag-cable-system ✓
╰─ 63.223.43.114   3491    194.114                  (Los Angeles, CA, US, NA) TenGE0-1-0-15.br04.lax05.pccwbtn.net                                                                
   63.223.43.114   3491    194.114                  (Los Angeles, CA, US, NA) TenGE0-1-0-15.br04.lax05.pccwbtn.net                                                                
   63.218.212.242  3491    193.341           (El Segundo, California, US, NA) yomura.ge-0-0-0-10.br03.lax05.as3491.net                                                            
