   37.10.41.14     202196  0.0                 (Singapore, Singapore, SG, AS)                                                                                                     
   37.10.41.9      202196  0.435               (Singapore, Singapore, SG, AS)                                                                                                     
   210.57.30.93    4637    1.555               (Singapore, Singapore, SG, AS) unknown.telstraglobal.net                                                                           
   202.84.219.174  4637    3.393               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.219.174  4637    3.393               (Singapore, Singapore, SG, AS) i-92.sgcn-core01.telstraglobal.net                                                                  
   202.84.224.197  4637    5.726               (Singapore, Singapore, SG, AS) i-91.istt04.telstraglobal.net                                                                       
╭─ 67.199.139.109  3257    2.345                       (Singapore, 4, SG, AS) ae10.cr4-sin1.ip4.gtt.net                                                                           
S (3257)  seamewe-5 ✓
╰─ 213.254.230.178 3257    278.707                        (Milan, 25, IT, EU) et-0-0-13.cr5-mil3.ip4.gtt.net                                                                      
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   185.25.205.152  60798   252.684                  (Milan, Lombardy, IT, EU) 152.205.25.185.servereasy.it                                                                        
