   103.170.25.13   142360  0.0               (Semarang, Central Java, ID, AS) ipv4-13-25-170-103.nexa.net.id                                                                      
   103.170.25.9    142360  0.169             (Semarang, Central Java, ID, AS) ipv4-9-25-170-103.nexa.net.id                                                                       
   103.170.24.249  142360  0.238             (Semarang, Central Java, ID, AS) ipv4-249-24-170-103.nexa.net.id                                                                     
   49.128.180.69   55666   0.28              (Semarang, Central Java, ID, AS) ipv4-69-180-128.gmedia.net.id                                                                       
   119.2.55.208    55666   10.138                  (Jakarta, Jakarta, ID, AS) ipv4-208-55-2.as55666.net                                                                           
   119.11.184.109  10217   7.392                   (Jakarta, Jakarta, ID, AS)                                                                                                     
   202.58.202.251  *       7.573                   (Jakarta, Jakarta, ID, AS) ae-1-1-r1-jkt1.globalxtreme.net                                                                     
   202.58.202.5    *       26.559                  (Jakarta, Jakarta, ID, AS) ae-2-5-r1-dps1.globalxtreme.net                                                                     
   103.225.148.27  45701   26.698                  (Jakarta, Jakarta, ID, AS) ip-27-148-225-103.globalxtreme.net                                                                  
