   185.251.232.156 209669  0.0                      (Bexley, England, GB, EU) 156.232.251.185.arpa.primonetwork.co.uk                                                             
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   91.193.116.88   201933  32.086                   (Poplar, England, GB, EU)                                                                                                     
   91.193.119.26   201933  33.308                     (Brighton, ENG, GB, EU) port-26-119.as201933.net                                                                            
   195.66.226.176  20473   25.159                       (London, ENG, GB, EU) vl32-br1-cer.lon3.choopa.net                                                                        
   10.69.3.74      *       38.567                                         ***                                                                                                     
   10.69.2.150     *       29.367                                         ***                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   78.141.246.167  20473   2.568                    (London, England, GB, EU) take.8086.net                                                                                       
   194.50.88.43    39617   29.263              (Nottinghamshire, ENG, GB, EU) *                                                                                                   
   194.50.88.164   39617   25.393          (Newark on Trent, England, GB, EU) uk-ldr-as39617.anchors.atlas.ripe.net                                                               
