   87.253.184.92   35258   0.0                     (Hamburg, Hamburg, DE, EU) de-ham-as35258.akqui.net                                                                            
   87.253.184.90   35258   0.372                   (Hamburg, Hamburg, DE, EU) ae-10-380.pe-fbrc3.ham02.de.akqui.net                                                               
   185.102.104.222 *       0.483                   (Hamburg, Hamburg, DE, EU) et-0-0-8.p-backbone1.ham02.de.akqui.net                                                             
   185.102.104.109 *       0.967                   (Hamburg, Hamburg, DE, EU) et-0-0-0.pe-irxc1.ham42.de.akqui.net                                                                
   193.42.155.12   *       0.954                   (Hamburg, Hamburg, DE, EU) as13101.hamburg.megaport.com                                                                        
   213.178.80.32   13101   3.013                           (Kiel, SH, DE, EU) kel1.tng.de                                                                                         
   213.178.75.135  13101   2.987           (Kiel, Schleswig-Holstein, DE, EU) kel3.tng.de                                                                                         
   82.97.188.1     13101   3.201                         (None, None, DE, EU) rtr1.gallifrey.tng.de                                                                               
   213.158.113.5   13101   3.378                   (Hamburg, Hamburg, DE, EU) ripe-anchor.gallifrey.tng.de                                                                        
