   87.238.48.84    39029   0.0                           (Oslo, Oslo, NO, EU) no-osl-as39029.anchors.atlas.ripe.net                                                               
   87.238.48.81    39029   0.689                         (Oslo, Oslo, NO, EU)                                                                                                     
   87.238.63.4     39029   0.832                         (Oslo, Oslo, NO, EU) lo.c1-osl1.n.bitbit.net                                                                             
   213.248.104.100 1299    0.926                         (Oslo, Oslo, NO, EU) oso-b1-link.ip.twelve99.net                                                                         
╭─ 62.115.181.191  1299    1.367                         (Oslo, Oslo, NO, EU) lumen-ic-350627.ip.twelve99-cust.net                                                                
S&T (1299, 3356)  tampnet-offshore-foc-network ✘ || no-uk ©
╰─ 171.75.8.229    3356    27.342                   (London, England, GB, EU) ae1.3112.edge6.lon2.neo.colt.net                                                                    
   212.187.167.190 31655   32.822                      (London, None, GB, EU) GAMMA-TELEC.ear2.London2.Level3.net                                                                 
   164.39.242.16   31655   33.838            (Trafford Park, England, GB, EU)                                                                                                     
   164.39.242.17   31655   33.384               (Manchester, England, GB, EU)                                                                                                     
