   45.5.10.13      265695  0.0       (Concepción de La Vega, La Vega, DO, NA) anchor.eliascomunicaciones.com                                                                      
   45.5.10.9       265695  0.146     (Concepción de La Vega, La Vega, DO, NA) core-router.eliascomunicaciones.com                                                                 
   45.5.10.1       265695  0.381     (Concepción de La Vega, La Vega, DO, NA) man-router.eliascomunicaciones.com                                                                  
   200.125.170.248 269931  1.712     (Villa Bisonó, Santiago Province, DO, NA) internet-dedicado-248.wmservice.com.do                                                              
╭─ 200.125.168.41  269931  1.36 (2.604)(Villa Bisonó, Santiago Province, DO, NA) fibra-hasta-la-casa-168-41.wmservice.com.do                                                         
S (269931, 21559)  
╰─ 199.116.62.86   21559   17.927                    (Miami, Florida, US, NA)                                                                                                     
   76.74.57.181    3257    18.416                    (Miami, Florida, US, NA)                                                                                                     
   89.149.142.250  3257    43.225           (New York City, New York, US, NA) ae0.cr4-nyc12.ip4.gtt.net                                                                           
   76.74.37.50     55081   49.205                        (None, None, US, NA) ip4.gtt.net                                                                                         
   23.148.232.1    59678   48.642             (Middlesex, New Jersey, US, NA) xgw-0101-ewr1.int.36.services                                                                       
   23.148.232.6    59678   49.025            (Piscataway, New Jersey, US, NA) us-pil-as59678.anchors.atlas.ripe.net                                                               
