   5.180.57.81     56987   0.0           (Lyon, Auvergne-Rhône-Alpes, FR, EU) fr-lio-as56987.anchors.atlas.ripe.net                                                               
   5.180.57.80     56987   0.198     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 80-57-180-5.rev.abaclouda.net                                                                       
   5.180.58.70     56987   0.239     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 01-xe.bgp03.lyn.abaclouda.net                                                                       
   149.6.119.1     174     0.516     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) te0-1-1-4.rcr21.lys01.atlas.cogentco.com                                                            
   154.54.61.73    174     0.443 (5.001)(Marseille, Provence-Alpes-Côte d'Azur, FR, EU) be3127.ccr31.mrs02.atlas.cogentco.com                                                               
╭─ 154.54.56.65    174     10.316            (Bordeaux/Merignac, NAQ, FR, EU) be2840.rcr21.bod01.atlas.cogentco.com                                                               
S&T (174)  
╰─ 154.54.57.93    174     16.683                       (Rome, Lazio, IT, EU) be2749.rcr51.rom01.atlas.cogentco.com                                                               
   149.6.23.43     174     16.626                       (Rome, Lazio, IT, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   62.196.8.238    5602    30.718                (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    30.928                          (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    32.668                          (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.142    5602    31.539                          (Rome, 62, IT, EU) cs2-xe-1-1-0-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    30.781                   (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
