   37.252.253.18   42473   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   37.252.253.17   42473   0.311                    (Palermo, Sicily, IT, EU) cr-01.0v-04-28.anx35.pmo.it.anexia-it.com                                                           
   37.235.5.33     42473   0.524                    (Palermo, Sicily, IT, EU)                                                                                                     
   185.1.46.4      *       0.472                    (Palermo, Sicily, IT, EU) seabone-decix-palermo-v6.seabone.net                                                                
   195.22.192.103  6762    24.168               (Pioltello, Lombardy, IT, EU)                                                                                                     
   195.22.192.103  6762    24.168               (Pioltello, Lombardy, IT, EU)                                                                                                     
   195.22.192.177  3320    22.876                         (Milan, 25, IT, EU) deutsche-telekom.milano51.mil.seabone.net                                                           
   62.149.185.170  31034   22.743                        (Arezzo, 52, IT, EU) cr2-be2-701.it1.aruba.it                                                                            
   62.149.185.27   31034   22.688                        (Arezzo, 52, IT, EU) cs1-02-vi3902.it1.aruba.it                                                                          
   31.14.143.132   31034   22.378                   (Arezzo, Tuscany, IT, EU) host132-143-14-31.serverdedicati.aruba.it                                                           
