   80.82.241.134   28792   0.0                      (London, England, GB, EU) 134-241-82-80.in-addr.pblin.net                                                                     
   80.82.241.133   28792   0.663                    (Oxford, England, GB, EU) 133-241-82-80.in-addr.pblin.net                                                                     
   80.82.243.126   28792   0.247                    (Witney, England, GB, EU) gi0-0-1.oxf-core-02.ip.pblin.net                                                                    
   80.82.243.121   28792   2.841                    (London, England, GB, EU) gi2-0-1.lon-core-01.ip.pblin.net                                                                    
╭─ 195.22.209.206  6762    2.936                    (Poplar, England, GB, EU) xe0-2-3.londra32.lon.seabone.net                                                                    
S&T (6762)  
╰─ 195.22.196.69   6762    23.571                         (Milan, 25, IT, EU) ae0.milano52.mil.seabone.net                                                                        
   195.22.196.69   6762    23.571                         (Milan, 25, IT, EU) ae0.milano52.mil.seabone.net                                                                        
   213.144.167.19  6762    23.568                   (Milan, Lombardy, IT, EU) vox-167-19.mil.seabone.net                                                                          
   ***             *       -inf                                           *** *                                                                                                   
   62.196.8.238    5602    35.356                (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    33.43                           (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    32.061                          (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.142    5602    32.723                          (Rome, 62, IT, EU) cs2-xe-1-1-0-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    33.584                   (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
