   37.252.253.18   42473   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   37.252.253.17   42473   0.233                    (Palermo, Sicily, IT, EU) cr-01.0v-04-28.anx35.pmo.it.anexia-it.com                                                           
   213.144.186.81  6762    0.618                    (Palermo, Sicily, IT, EU)                                                                                                     
╭─ 195.22.208.117  6762    20.953                         (Milan, 25, IT, EU) ae10.milano58.mil.seabone.net                                                                       
S&T (6762, 3257)  
╰─ 213.254.220.57  3257    21.196                         (Madrid, M, ES, EU) ae8-65.cr0-mad5.ip4.gtt.net                                                                         
   89.149.130.238  3257    45.839                    (Madrid, Madrid, ES, EU) ae0.cr4-mad5.ip4.gtt.net                                                                            
   212.221.81.66   3257    41.762                    (Madrid, Madrid, ES, EU) ip4.gtt.net                                                                                         
   178.249.215.101 60068   41.713                    (Madrid, Madrid, ES, EU) unn-178-249-215-101.cdn77.com                                                                       
   194.156.155.241 48386   43.805                    (Madrid, Madrid, ES, EU) es-mad-as48386-client.anchors.atlas.ripe.net                                                        
