   77.214.52.102   9158    0.0               (Aalborg, North Denmark, DK, EU)                                                                                                     
   77.214.52.101   9158    0.351                          (Farum, 84, DK, EU) *                                                                                                   
   128.76.59.97    3292    2.929         (Tranbjerg, Central Jutland, DK, EU) peer-as9158.kd3nqp7.dk.ip.tdc.net                                                                   
   128.76.59.96    3292    3.004         (Tranbjerg, Central Jutland, DK, EU) ae20-0.kd3nqp7.dk.ip.tdc.net                                                                        
   83.88.3.254     3292    4.711                         (None, None, DK, EU) ae2-0.sdnqe11.dk.ip.tdc.net                                                                         
   93.167.247.106  3292    4.901          (Stilling, Central Jutland, DK, EU) cpe.et-3-3-0-100.sdnqe11.dk.customer.tdc.net                                                        
   80.70.0.248     48854   5.001          (Stilling, Central Jutland, DK, EU)                                                                                                     
   80.70.0.249     48854   5.137         (Tranbjerg, Central Jutland, DK, EU)                                                                                                     
   212.237.248.17  48854   5.142                    (Skanderborg, 82, DK, EU) *                                                                                                   
   185.221.36.2    48854   4.894         (Tranbjerg, Central Jutland, DK, EU) dk-skg-as48854.anchors.atlas.ripe.net                                                               
