   202.152.129.74  23951   0.0               (Yogyakarta, Yogyakarta, ID, AS) 202-152-129-74.citra.net.id                                                                         
   202.152.129.73  23951   0.417     (Pugeran Maguwoharjo, Yogyakarta, ID, AS) 202-152-129-73.citra.net.id                                                                         
   202.152.153.20  23951   0.581     (Pugeran Maguwoharjo, Yogyakarta, ID, AS) 202-152-153-20.as23951.net                                                                          
   202.152.153.216 23951   10.309                  (Jakarta, Jakarta, ID, AS) cyber.dmix.bdr1.cgk.as23951.net                                                                     
   117.20.51.56    23951   10.364                 (Depok, Yogyakarta, ID, AS) jktix.as23951.net                                                                                   
   43.230.152.249  *       10.594                  (Jakarta, Jakarta, ID, AS)                                                                                                     
   43.230.152.17   *       10.698                  (Jakarta, Jakarta, ID, AS) cyber-3d-in.kings.id                                                                                
   43.230.153.102  *       10.683                  (Jakarta, Jakarta, ID, AS)                                                                                                     
   180.211.88.22   45725   10.988                  (Jakarta, Jakarta, ID, AS) id-jkt-as45725.anchors.atlas.ripe.net                                                               
