   37.252.253.18   42473   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   37.252.253.17   42473   0.418                    (Palermo, Sicily, IT, EU) cr-01.0v-04-28.anx35.pmo.it.anexia-it.com                                                           
   37.235.5.33     42473   0.621                    (Palermo, Sicily, IT, EU)                                                                                                     
╭─ 185.1.46.4      *       0.64                     (Palermo, Sicily, IT, EU) seabone-decix-palermo-v6.seabone.net                                                                
S&T (, 6762)  oteglobe-kokkini-bari ✘ || mednautilus-submarine-system ✘ || italy-greece-1 ✘
╰─ 213.144.178.67  6762    20.985                    (Athens, Attica, GR, EU) ae10.atene6.ate.seabone.net                                                                         
   213.144.178.114 6762    18.233                    (Athens, Attica, GR, EU) fastpath-114.atene6.ate.seabone.net                                                                 
   185.201.254.25  56457   18.253                     (Kítsi, Attica, GR, EU) be3500.ef1.ath01.fastpath.gr                                                                        
   185.201.254.35  56457   18.55                      (Kítsi, Attica, GR, EU) te1-22.sp1.ath01.fastpath.gr                                                                        
   176.119.210.244 56457   21.063                    (Athens, Attica, GR, EU)                                                                                                     
