   104.131.160.184 14061   0.0                  (Clifton, New Jersey, US, NA) us-nyc-as14061.anchors.atlas.ripe.net                                                               
   ***             *       -inf                                           *** *                                                                                                   
   10.74.132.49    *       0.474                                          ***                                                                                                     
   138.197.248.234 *       0.88             (New York City, New York, US, NA)                                                                                                     
   138.197.248.12  *       0.417            (New York City, New York, US, NA)                                                                                                     
   62.115.45.5     1299    1.283            (New York City, New York, US, NA) nyk-b11-link.ip.twelve99.net                                                                        
   62.115.112.70   1299    1.94             (New York City, New York, US, NA) nyk-bb2-link.ip.twelve99.net                                                                        
   62.115.143.13   1299    1.95              (Graniteville, New York, US, NA) nyk-b7-link.ip.twelve99.net                                                                         
   ***             *       -inf                                           *** *                                                                                                   
   154.54.3.9      174     8.09                        (New York, NY, US, NA) be3362.ccr41.jfk02.atlas.cogentco.com                                                               
   154.54.40.106   174     13.307                    (Washington, DC, US, NA) be2806.ccr41.dca01.atlas.cogentco.com                                                               
   154.54.90.70    174     20.833              (Cary, North Carolina, US, NA) be3203.rcr71.rdu02.atlas.cogentco.com                                                               
   154.24.54.174   174     21.662                        (Denver, CO, US, NA) te0-0-1-3.nr12.b006551-1.den01.atlas.cogentco.com                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   104.225.2.46    36236   21.44                         (Durham, NC, US, NA) 46.2.225.104.ptr.anycast.net                                                                        
   104.225.3.74    36236   20.978            (Durham, North Carolina, US, NA) 74.3.225.104.ptr.anycast.net                                                                        
