   103.179.37.157  151332  0.0                  (Melbourne, Victoria, AU, OC)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   203.192.83.253  7545    1.838                (Melbourne, Victoria, AU, OC) ip-253-83-192-203.static.pipenetworks.com                                                           
   203.220.216.73  7545    1.604                        (Sydney, NSW, AU, OC) 203-220-216-73.tpgi.com.au                                                                          
   27.32.160.129   7545    12.782              (North Melbourne, VIC, AU, OC) 27-32-160-129.static.tpgi.com.au                                                                    
   202.7.171.173   7545    13.751           (Sydney, New South Wales, AU, OC) syd-gls-har-crt1-be-10.tpgi.com.au                                                                  
   203.221.3.73    7545    13.656              (New South Wales, NSW, AU, OC) 203-221-3-73.tpgi.com.au                                                                            
   103.5.14.8      16276   14.784           (Sydney, New South Wales, AU, OC) syd-sy2-bb1-a9.au.asia                                                                              
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   72.251.0.8      16276   15.731           (Sydney, New South Wales, AU, OC)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   139.99.219.16   16276   13.393           (Sydney, New South Wales, AU, OC) au-syd-as16276.anchors.atlas.ripe.net                                                               
