   103.170.232.152 142616  0.0                         (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
   ***             *       -inf                                           *** *                                                                                                   
   103.170.232.3   142616  0.211                       (Tokyo, Tokyo, JP, AS) spine2.nrt04.jp.misaka.io                                                                           
   199.119.64.138  969     0.248                       (Tokyo, Tokyo, JP, AS) e54-10.cr1a.eqty8.nrt4.jp.917.as                                                                    
   199.119.64.95   969     0.246                       (Tokyo, Tokyo, JP, AS) po100.cr2a.eqty8.nrt4.jp.917.as                                                                     
   84.17.33.106    60068   0.267                       (Tokyo, Tokyo, JP, AS) po66-3518.cr01.nrt04.jp.misaka.io                                                                   
╭─ 210.173.177.80  *       25.608                      (Tokyo, Tokyo, JP, AS)                                                                                                     
S (, 3216)  
╰─ 79.104.238.15   3216    25.746                  (Khabarovsk, None, RU, AS) pe02.Khabarovsk.gldn.net                                                                            
   212.119.196.106 3216    25.452            (Khabarovsk, Khabarovsk, RU, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   92.38.191.66    210756  25.367            (Khabarovsk, Khabarovsk, RU, EU) vrrp.edgecenter.ru                                                                                  
   185.209.84.10   198412  25.404                   (Khabarovsk, KHA, RU, AS) ae1-0.c10.khv01.ru.misaka.io                                                                        
   185.209.84.141  57578   25.608            (Khabarovsk, Khabarovsk, RU, EU) ru-khv-as57578.anchors.atlas.ripe.net                                                               
