   103.126.52.180  138466  0.0              (Sydney, New South Wales, AU, OC) as138466.anchors.atlas.ripe.net                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   103.126.52.193  138466  0.591            (Sydney, New South Wales, AU, OC) vl129-dp0s18-pauseq4sbdr5.datamossa.io                                                              
   103.126.53.163  138466  1.479            (Sydney, New South Wales, AU, OC) vl129-et1-pauseq4rbdr3.datamossa.io                                                                 
   103.126.52.163  138466  1.105            (Sydney, New South Wales, AU, OC) te0-0-4-449.nsw-eqs2-cr-01.eqs2.nsw.xyztelecom.com.au                                               
   202.90.50.104   9336    1.199            (Sydney, New South Wales, AU, OC) et2-2.br-01.eqs2.nsw.xyztelecom.com.au                                                              
   120.88.72.222   7594    1.254            (Sydney, New South Wales, AU, OC) ip-120-88-72-222.ptr.onq.net                                                                        
   8.245.132.42    3356    14.729           (Sydney, New South Wales, AU, OC)                                                                                                     
╭─ 8.245.132.41    3356    17.897           (Sydney, New South Wales, AU, OC)                                                                                                     
S (3356)  hawaiki ✘ || southern-cross-cable-network-sccn © || southern-cross-next ©
╰─ 4.69.206.169    3356    190.875                       (Dallas, TX, US, NA) ae2.3609.edge2.Dallas2.level3.net                                                                   
   4.14.135.90     19750   191.514                       (Dallas, TX, US, NA) CRITEO.edge2.Dallas2.Level3.net                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   74.119.118.196  19750   191.615                    (Dallas, Texas, US, NA)                                                                                                     
   74.119.118.17   19750   195.707                    (Dallas, Texas, US, NA)                                                                                                     
