   5.180.57.81     56987   0.0           (Lyon, Auvergne-Rhône-Alpes, FR, EU) fr-lio-as56987.anchors.atlas.ripe.net                                                               
   5.180.57.80     56987   0.214     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 80-57-180-5.rev.abaclouda.net                                                                       
   5.180.58.70     56987   0.274     (Saint-Fons, Auvergne-Rhône-Alpes, FR, EU) 01-xe.bgp03.lyn.abaclouda.net                                                                       
   5.180.57.72     56987   0.264 (6.413)          (Paris, Île-de-France, FR, EU) 01-xe.bgp05.par.abaclouda.net                                                                       
╭─ 81.52.188.13    5511    6.615               (Paris, Île-de-France, FR, EU)                                                                                                     
S&T (5511)  
╰─ 193.251.241.157 5511    13.739                      (London, None, GB, EU) bundle-ether304.lontr5.london.opentransit.net                                                       
   193.251.248.52  5511    17.105                   (London, England, GB, EU)                                                                                                     
   37.143.136.249  196745  17.651                  (Bournemouth, ENG, GB, EU) *                                                                                                   
   37.143.141.141  196745  17.91                     (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
