   207.246.88.250  20473   0.0               (Piscataway, New Jersey, US, NA) 207.246.88.250.vultrusercontent.com                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   100.100.200.1   *       0.434                                          ***                                                                                                     
   10.64.0.229     *       1.044                                          ***                                                                                                     
   10.64.4.217     *       4.76                                           ***                                                                                                     
   10.64.0.249     *       1.495 (15.669)                                     ***                                                                                                     
   198.32.160.58   21700   1.441                (New York City, NY, US, None) nyiix.neptunenetworks.org                                                                           
   23.157.160.5    207036  1.561                       (Brooklyn, NY, US, NA) *                                                                                                   
   23.157.160.140  21700   1.854            (New York City, New York, US, NA)                                                                                                     
