   185.249.157.253 34428   0.0                      (Palermo, Sicily, IT, EU)                                                                                                     
   185.249.157.252 34428   0.383          (Parco degli Ulivi, Sicily, IT, EU)                                                                                                     
   185.249.157.255 34428   0.538          (Parco degli Ulivi, Sicily, IT, EU)                                                                                                     
   193.41.57.31    34428   17.553                       (Rome, Lazio, IT, EU)                                                                                                     
   193.201.28.13   *       14.138                       (Rome, Lazio, IT, EU) irideos.rom.namex.it                                                                                
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   62.196.8.238    5602    21.22                 (Vigolo Vattaro, 32, IT, EU) *                                                                                                   
   109.168.0.173   5602    21.452                          (Lodi, 25, IT, EU) cr2-tenge0-0-0-0-cal2.mil.kpnqwest.it                                                               
   109.168.0.14    5602    25.443                          (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal4.mil.kpnqwest.it                                                               
   94.141.0.138    5602    26.107                          (Rome, 62, IT, EU) cs1-xe-1-1-2-0-cal4.mil.kpnqwest.it                                                                 
   109.168.125.243 5602    21.172                   (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
