   109.168.125.243 5602    0.0                      (Milan, Lombardy, IT, EU) 243.125.168.109.host.static.ip.kpnqwest.it                                                          
   ***             *       -inf                                           *** *                                                                                                   
   94.141.0.137    5602    0.413                   (Figino, Lombardy, IT, EU) er2-xe-1-3-0-0-cal4.mil.kpnqwest.it                                                                 
   94.141.0.201    5602    0.551                   (Figino, Lombardy, IT, EU) er1-xe-0-0-3-0-cal4.mil.kpnqwest.it                                                                 
   109.168.0.22    5602    0.839                           (Lodi, 25, IT, EU) cr2-hunge0-0-1-1-cal1.mil.kpnqwest.it                                                               
   109.168.0.166   5602    0.532                          (Milan, 25, IT, EU) br1-xe-0-1-0-0-cal1.mil.kpnqwest.it                                                                 
   62.196.8.245    3302    0.595                   (Figino, Lombardy, IT, EU)                                                                                                     
   37.32.106.2     *       8.393                    (Milan, Lombardy, IT, EU)                                                                                                     
   193.201.28.33   *       8.799                        (Rome, Lazio, IT, EU) cloudflare.rom.namex.it                                                                             
   172.68.196.72   13335   8.193                        (Rome, Lazio, IT, EU)                                                                                                     
   172.68.196.84   13335   8.218                        (Rome, Lazio, IT, EU)                                                                                                     
   172.68.196.102  13335   8.424                        (Rome, Lazio, IT, EU)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
