   212.45.159.245  8816    0.0                      (Milan, Lombardy, IT, EU) it-mil-as8816.anchors.atlas.ripe.net                                                                
   212.45.159.246  8816    1.116                    (Milan, Lombardy, IT, EU) asr-luc1-gi7.metrolink.it                                                                           
   212.45.137.202  8816    1.496                    (Milan, Lombardy, IT, EU) asr-luc2-te27.metrolink.it                                                                          
   212.45.137.197  8816    1.317                    (Milan, Lombardy, IT, EU) br-ava-te28.metrolink.it                                                                            
   212.45.159.9    8816    1.081                         (Milan, 9, IT, None) br-mix-fo20.metrolink.it                                                                            
╭─ 217.29.66.116   *       0.679                   (Figino, Lombardy, IT, EU) retn.mix-it.net                                                                                     
LHL (, 9002)  jonah ✘ || mednautilus-submarine-system ✘
╰─ 87.245.232.68   9002    31.179                       (Vilnius, VL, LT, EU) ae1-11.RT.TIC.VNO.LT.retn.net                                                                       
   87.245.242.129  9002    2739.635                     (Vilnius, VL, LT, EU) xe121.RT.TIC.VNO.LT.retn.net                                                                        
   87.245.242.129  9002    2739.635                     (Vilnius, VL, LT, EU) xe121.RT.TIC.VNO.LT.retn.net                                                                        
