   76.26.115.194   7922    0.0           (Philadelphia, Pennsylvania, US, NA) ripeatlas-wc-a1p.sys.comcast.net                                                                    
   76.26.115.193   7922    1.062         (West Chester, Pennsylvania, US, NA) gi-103-0-0-28-ur21-d.westchester.pa.bo.comcast.net                                                  
   68.85.137.214   7922    0.84          (West Chester, Pennsylvania, US, NA) be21-ar01-d.westchester.pa.bo.comcast.net                                                           
   68.86.92.21     7922    5.946                  (Ashburn, Virginia, US, NA) be-39821-cs02.beaumeade.va.ibone.comcast.net                                                        
   68.86.166.214   7922    5.748                        (Ashburn, VA, US, NA) be-3213-pe13.ashburn.va.ibone.comcast.net                                                           
╭─ 4.68.127.189    7922    14.128                    (Washington, DC, US, NA) ae-14.edge5.WashingtonDC12.Level3.net                                                               
S (7922, 3549)  brusa ✓ || america-movil-submarine-cable-system-1-amx-1 ✘ || globenet ✘
╰─ 200.189.230.45  3549    113.541             (São Paulo, São Paulo, BR, SA) 45.230.189.200.static.ciriontechnologies.net                                                        
   8.242.31.34     3356    113.014             (São Paulo, São Paulo, BR, SA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   189.89.141.26   28186   413.133                     (Salvador, BA, BR, SA) 189-89-141-26.STATIC.itsweb.com.br                                                                  
   189.89.129.138  53242   113.483                     (Salvador, BA, BR, SA) 189-89-129-138.STATIC.itsweb.com.br                                                                 
   187.44.229.14   28186   113.929                  (Salvador, Bahia, BR, SA) 187-44-229-14.static.itsweb.com.br                                                                  
