   80.82.241.134   28792   0.0                      (London, England, GB, EU) 134-241-82-80.in-addr.pblin.net                                                                     
   80.82.241.133   28792   0.697                    (Oxford, England, GB, EU) 133-241-82-80.in-addr.pblin.net                                                                     
   80.82.243.126   28792   0.292                    (Witney, England, GB, EU) gi0-0-1.oxf-core-02.ip.pblin.net                                                                    
   80.82.243.121   28792   2.964                    (London, England, GB, EU) gi2-0-1.lon-core-01.ip.pblin.net                                                                    
   80.82.243.140   28792   2.99                         (Witney, ENG, GB, EU) gi0-0-0.lon-core-02.ip.pblin.net                                                                    
╭─ 195.66.224.16   *       29.272                   (London, England, GB, EU)                                                                                                     
S&T (, 34428)  
╰─ 193.41.57.248   34428   50.281                        (None, None, IT, EU) *                                                                                                   
   185.249.157.254 34428   48.874                   (Palermo, Sicily, IT, EU)                                                                                                     
   185.249.157.253 34428   48.047                   (Palermo, Sicily, IT, EU)                                                                                                     
