   103.170.232.152 142616  0.0                         (Tokyo, Tokyo, JP, AS) user-103-170-232-152.nrt04.jp.misaka.io                                                             
   ***             *       -inf                                           *** *                                                                                                   
   103.170.232.2   142616  0.207                       (Tokyo, Tokyo, JP, AS) spine1.nrt04.jp.misaka.io                                                                           
   199.119.64.136  969     0.232                       (Tokyo, Tokyo, JP, AS) e53-10.cr1a.eqty8.nrt4.jp.917.as                                                                    
   160.202.164.140 137409  0.28                        (Tokyo, Tokyo, JP, AS)                                                                                                     
   206.148.24.36   7578    0.313                       (Tokyo, Tokyo, JP, AS) po50-3.ty-eqxty8-cr3.globalsecurelayer.com                                                          
   206.148.24.48   7578    0.371                       (Tokyo, Tokyo, JP, AS) po3.ty-eqxty8-bb5.globalsecurelayer.com                                                             
╭─ 206.148.24.50   7578    0.333                       (Tokyo, Tokyo, JP, AS) e52.ty-eqxty8-bb5.globalsecurelayer.com                                                             
S (7578)  japan-u-s-cable-network-jus ✘ || tata-tgn-pacific ✘ || pacific-crossing-1-pc-1 ✘ || faster ✘ || jupiter ✘
╰─ 206.148.25.85   7578    97.829           (Los Angeles, California, US, NA) e50.lax-csla2-bb1.globalsecurelayer.com                                                             
   206.148.25.90   7578    97.751           (Los Angeles, California, US, NA) e19.lax-csla2-bb5.globalsecurelayer.com                                                             
   206.148.25.7    7578    127.005              (Seattle, Washington, US, NA) e50.sea-drtsea10-bb1.globalsecurelayer.com                                                          
   206.148.25.16   7578    126.892              (Seattle, Washington, US, NA) po10.sea-drtsea10-cr1.globalsecurelayer.com                                                         
   206.81.83.146   *       126.892              (Seattle, Washington, US, NA) v4-mtu9k-six.globalsecurelayer.com                                                                  
   ***             *       -inf                                           *** *                                                                                                   
   170.39.227.9    35487   126.879                      (Seattle, WA, US, NA) po-09.lag.sea02.us.misaka.io                                                                        
   170.39.227.194  917     127.083              (Seattle, Washington, US, NA) us-sea-as57695.anchors.atlas.ripe.net                                                               
