   197.80.104.36   10474   0.0                (Johannesburg, Gauteng, ZA, AF) 197-80-104-36.jhb.mweb.co.za                                                                        
   197.80.75.3     10474   1.145                  (Randburg, Gauteng, ZA, AF) 20.bu-ether1.vic-pe-12.optinet.net                                                                  
   197.80.7.71     10474   1.664                         (None, None, ZA, AF) 201.bu-ether5.vic-pe-2.optinet.net                                                                  
   197.80.4.9      10474   1.335                         (None, None, ZA, AF) bu-ether1.tis-pe-2.optinet.net                                                                      
   197.80.4.252    10474   1.62                          (None, None, ZA, AF) bu-ether2.tis-pe-1.optinet.net                                                                      
   197.80.5.65     10474   1.03                   (Randburg, Gauteng, ZA, AF) 197-80-5-65.jhb.mweb.co.za                                                                          
   196.60.9.85     22822   0.744                  (Johannesburg, 6, ZA, None) limelight.ixp.joburg                                                                                
   41.63.64.8      22822   0.685                   (Johannesburg, GT, ZA, AF) vl4.cra01.jnb1.llnw.net                                                                             
   41.63.64.65     19905   1.212                         (None, None, ZA, AF) *                                                                                                   
   156.154.135.254 12008   0.885              (Johannesburg, Gauteng, ZA, AF)                                                                                                     
