   203.41.0.43     1221    0.0              (Sydney, New South Wales, AU, OC)                                                                                                     
   203.41.0.41     1221    0.161            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.48.8.166    1221    0.255            (Sydney, New South Wales, AU, OC) tel4239945.lnk.telstra.net                                                                          
   203.48.8.165    1221    0.835            (Sydney, New South Wales, AU, OC) bundle-ether803-206.chw-edge903.sydney.telstra.net                                                  
   203.50.11.176   1221    0.975                        (Sydney, NSW, AU, OC) bundle-ether17.chw-core10.sydney.telstra.net                                                        
   203.50.6.116    1221    1.267            (Sydney, New South Wales, AU, OC) bundle-ether2.pad-gw30.sydney.telstra.net                                                           
   203.50.13.86    1221    1.035            (Sydney, New South Wales, AU, OC)                                                                                                     
   203.50.13.86    1221    1.035            (Sydney, New South Wales, AU, OC)                                                                                                     
   202.84.222.134  4637    146.744          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
╭─ 202.84.222.134  4637    146.744          (Sydney, New South Wales, AU, OC) i-10201.sydp-core04.telstraglobal.net                                                               
S (4637)  
╰─ 202.84.141.25   4637    145.961             (San Jose, California, US, NA) i-20802.eqnx-core02.telstraglobal.net                                                               
   202.84.247.17   4637    145.431             (San Jose, California, US, NA) i-92.eqnx03.telstraglobal.net                                                                       
   134.159.61.78   4637    178.233             (San Jose, California, US, NA) pccw_global-peer.eqnx03.pr.telstraglobal.net                                                        
   63.218.50.161   3491    178.107                  (Los Angeles, CA, US, NA) Hu0-0-0-5.br05.lax04.pccwbtn.net                                                                    
   63.222.114.151  3491    177.799          (Los Angeles, California, US, NA)                                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   192.189.157.25  64289   177.89           (Los Angeles, California, US, NA)                                                                                                     
