   37.143.141.141  196745  0.0                       (Poole, England, GB, EU) atlas.datacenta.net                                                                                 
   ***             *       -inf                                           *** *                                                                                                   
   ***             *       -inf                                           *** *                                                                                                   
   193.251.248.53  5511    4.852                    (London, England, GB, EU)                                                                                                     
╭─ 212.115.144.89  3257    4.755                        (London, ENG, GB, EU) ae2.cr13-lon1.ip4.gtt.net                                                                           
S&T (3257)  seamewe-3 ✓
╰─ 213.200.119.214 3257    10.428                        (Paris, IDF, FR, EU) et-3-3-0.cr2-par7.ip4.gtt.net                                                                       
   77.67.123.206   2200    10.496                        (Paris, IDF, FR, EU) renater-gw-ix1.gtt.net                                                                              
   193.55.204.195  2200    23.658                       (Paris, None, FR, EU) et-3-1-2-ren-nr-paris2-rtr-131.noc.renater.fr                                                       
   193.51.177.239  2200    23.234                  (Rennes, Brittany, FR, EU) hu0-3-0-1-ren-nr-lyon2-rtr-091.noc.renater.fr                                                       
   193.55.204.15   2200    23.431                      (Rennes, None, FR, EU) te0-3-0-0-ren-nr-rennes-rtr-091.noc.renater.fr                                                      
   ***             *       -inf                                           *** *                                                                                                   
   193.54.185.10   1942    23.419             (Épinay-sur-Seine, IDF, FR, EU) r-epn.grenet.fr                                                                                     
   ***             *       -inf                                           *** *                                                                                                   
   193.49.43.151   2200    23.352    (Grenoble, Auvergne-Rhône-Alpes, FR, EU)                                                                                                     
